original sentence,similar sentence,similarity index
Individual Care Plans,Individual care plans,0.999999925
"Artistic balance of complementary flavours, colours, shapes and textures in garnishes, food product and plate","Artistic balance of complementary flavours, colours, shapes and textures in garnishes, food products and plate",0.998207987
Stakeholders to discuss and negotiate cost allocation and targets,Stakeholders to discuss and negotiate cost allocations and targets with,0.990262708
"Types of flight control, fuel, hydraulic power and ice and rain protection systems (ATA 27 - 30)","Types of fuel, hydraulic power and ice and rain protection systems (ATA 28 - 30)",0.988039305
"Visual testing (VT), Ultrasonic Testing (UT), Magnetic Particles Testing (MT), Dye Penetrant Testing (PT) and Radiographic Testing (RT)","Non-destructive testing (NDT) methods, comprising visual testing (VT), ultrasonic testing (UT), magnetic particles testing (MT), dye penetrant testing (PT), and radiographic testing (RT)",0.987197278
Principles of Individualised Education Plan (IEP),Principles of developing Individualised Education Plan (IEP),0.982536828
"Types of Personal Protective Equipment (PPE) for cleaning of vertical and ceiling surfaces, especially when cleaning is performed at high height","Appropriate Personal Protective Equipment (PPE) to clean vertical and ceiling surfaces, especially when cleaning is performed at high height",0.981983546
Product specifications parameter setting,Product specifications parameters setting,0.981712022
Appropriate Personal Protective Equipment (PPE),Personal protective equipment (PPE),0.979263193
Goal setting and Key Performance Indicators (KPIs),Target and Key Performance Indicators (KPIs) setting,0.973755609
Techniques for operating Point of Sales (POS) equipment,Techniques for troubleshooting Point of Sales (POS) equipment,0.971899883
Processes within financial analysis frameworks,Processes within the financial analysis framework,0.968940502
Corrective action appropriate to the problem cause,Corrective actions appropriate to the problems causes,0.967390476
Complex psychological cases and factors involving critical incidents and medico-legal and forensic cases,In-depth knowledge of complex psychological cases and factors including medico-legal and forensic cases,0.959092107
Appropriate accounting treatments for reporting entities,Considerations in identifying and applying appropriate accounting treatments for reporting entities,0.958458302
Principles of aerial cinematography and other factors that impact overall visuals,Principles of cinematography that impact overall visuals,0.957681439
"Sections of scientific research papers, conventions related to their content and their requirements","Sections of scientific posters, conventions surrounding their content and their typical requirements",0.95389707
Local industry regulatory trends,Industry and regulatory trends,0.950294329
