,knowledge
0,Methods of promoting and enhancing workforce diversity
1,Legal and ethical guidelines related to fair employment practices
2,Links between performance management and organisational strategy
3,"Plant and equipment control, condition monitoring, shutdown and safeguarding specifications"
4,Basic cardiac life support
5,"Internal and external changes affecting assets, asset management or the asset management system and the impact on the organizations ability to achieve its asset management objectives"
6,Organisational policies and procedures that assist in the review of performance management systems
7,Methods in reviewing internal audits
8,Goal setting and Key Performance Indicators (KPIs)
9,Logistics when organising auditions
10,Key drivers of customer satisfaction
11,Factors influencing the organisations quality assurance policies and objectives
12,Emerging new media channels and technologies including immersive technologies
13,Methods for hazard identification
14,"Methods and tools for monitoring network activities, systems and mechanisms"
15,Basic construction and operation principles of machinery systems:
16,Human resource development
17,"Vibration measurement tools, equipment, techniques and procedures"
18,Supplier quality management (SQM)
19,Fundamentals of electrical bonding and grounding
20,Empowerment in delegation of responsibilities for loss and risk prevention
21,Outline of organisational processes and procedures related to proposal development
22,Types of continuous improvement activities and implementation approaches
23,"Automated Storage and Retrieval System (ASRS), conveyor and pick-to-light processes"
24,Types of patients with specific needs
25,Organisation protocols on control of infectious disease outbreaks
26,Types of data related to category management
27,Assessment criteria for potential funders
28,Aerofoil contamination and types of ground anti-icing and de-icing techniques
29,Procedures for formulating fuel and lubrication system designs
30,Strategies and conditions to apply different service styles
31,Geotechnical design review principles
32,Statistical and data analytics software
33,Security risk assessments of networks and systems
34,Best practices for designing quality natural learning environments
35,WSH legal and other requirements and standards
36,"Project strategy development, planning  and execution techniques"
37,Importance of cross- functional collaboration in validating quality control testing procedures and analyses
38,Container stowage planning procedures
39,Complex psychological cases and factors involving critical incidents and medico-legal and forensic cases
40,Organisational procedures to escalate cases to therapists
41,"Risk analysis of HR technologies, and implications on legal, ethical or security dimensions of the business"
42,Alcoholic and non-alcoholic beverages available during flights
43,Techniques to improve brand positioning and identity
44,Train stabling procedures at depot
45,Take-off and climb procedures
46,Methods of technical drawing by instruments and computer-aided design (CAD) systems
47,Common roles and applications with conversational UIs
48,Stakeholder engagement techniques and best practices
49,Appropriate Personal Protective Equipment (PPE)
50,Organisation's business model and consumption model
51,Government policies on health promotion
52,Deductive tools for problem description including affinity diagram and fishbone / Ishikawa diagram
53,Definitions and principles of fit functions
54,Variables that influence purchasing and/or investing behaviour
55,Components and operating principles of protection relays
56,Types and uses of equipment required for security escort activities
57,Process Hazard Analysis (PHA)
58,Information gathering and questioning techniques
59,Types of defects in overhead catenary system
60,Possible solutions to address internal and external issues affecting guests and/or  customers activities
61,Types of financial assets
62,Relationship management techniques
63,International regulations relating to the safe handling of hazardous materials in biopharmaceuticals manufacturing
64,OHSAS 18001: 2007  Occupational Health and Safety Management
65,Processes within financial analysis frameworks
66,Customs and immigration visa requirements
67,Individual Care Plans
68,Functional test procedures on bus electrical and electronic systems
69,Principles of coaching
70,Operational readiness standards for emergency response vehicles and equipment
71,Sources of potential ideas
72,Current research into new clinical interventions or improvements to existing interventions
73,Application of revenue management strategies to other areas within the hospitality business
74,Risk assessments for asbestos removal work
75,Methods of maintaining static and rotating
76,Industry best practices in change management
77,Best practices for data collection
78,Methods of flora and fauna biodiversity enhancement
79,Billing and settlement reporting format
80,Concept of digital materials
81,Practical considerations in the use of various types of training resources
82,Methods of waste material disposal
83,Types and properties of non-metallic materials
84,"Functional relationships between 22KV switchgear systems, other power systems and the overall rail system"
85,Workload planning and projections
86,Types of middleware products or conversion tools for software deployment
87,Assistive device evaluation methods
88,Type of contaminations applicable to manufacturing and/or cleanrooms
89,Organisational procedures for drug inventory management systems
90,Requirements of Singapores taxation policies
91,Scenario analysis techniques for various outcomes
92,Local industry regulatory trends
93,Strategic direction and development of respiratory management and services
94,Methods for maintaining seaworthiness of a ship
95,Accountability under the PDPA
96,"Types of Personal Protective Equipment (PPE) for cleaning of vertical and ceiling surfaces, especially when cleaning is performed at high height"
97,Rapid Transit System Act
98,Typical engineering and architecture issues in porting
99,Procedures to resolve unusual transactions
100,"Definitions of terminologies used in A-CDM such as target off block time, target take off time and variable taxi time"
101,Types of installation and assembly techniques
102,"Sections of scientific research papers, conventions related to their content and their requirements"
103,Workplace Safety and Health (WSH) requirements for bulk cargo operations
104,Therapeutic Products Act
105,Information analysis and review methods
106,Market trends in nursery products and services
107,Process of HSSEQ culture assessment
108,Indicators of cleaning solutions and sterilisation methods efficacy
109,Interviewing processes
110,"Types of flight control, fuel, hydraulic power and ice and rain protection systems (ATA 27 - 30)"
111,Types of information required for developing basic designs
112,Project planning and control methods
113,"Engine and system components layout and installation, connection and control linkages"
114,Industry standards in technologies and equipment for studio operations
115,Importance of responding to changes in business levels
116,Strategic direction setting approaches
117,Technical data presentation
118,Advanced methods for sealant application
119,Best practices of Halal food production and preparation
120,Techniques to project future areas for automaton
121,Methods to identify user website needs and requirements
122,Types of group work for clients with complex needs
123,ULDs contours
124,Strategies for reviewing and approving technical reports
125,Generic standards of inspection
126,Social innovation
127,Methods for data collection and research
128,"Methods to adapt social, recreational and educational activities"
129,Methods of ensuring third parties follow and comply with Workplace Safety and Health (WSH) and Environmental Management System (EMS) requirements when in process areas
130,Principles in determining which projects should be integrated
131,Types of classifications and prioritisation of leaks
132,Target risks of the organisation such as key risk indicators or metrics
133,Interpersonal and team building skills
134,Cargo tracking systems and processes
135,Objectives of and importance of IP management
136,Diagnostic procedures for bus air-conditioning systems and components
137,Organisation crisis response procedures and guidelines
138,National and organisational medication safety priorities
139,Layout of organisational maintenance facilities
140,"Testing methods, techniques and parameters for broadcast systems"
141,Basic technology tools to complement physiotherapy interventions
142,Assumptions and parameters of budgets
143,Methods of incidents analysis and root cause analysis
144,Consequences of infringement activities
145,Communication guidelines and procedures to respond to customer requests
146,Advanced product technologies
147,Transdisciplinary collaboration and relationships in achieving shared goals
148,Product specifications parameter setting
149,Characteristics of competency-based training and assessment
150,"Visual testing (VT), Ultrasonic Testing (UT), Magnetic Particles Testing (MT), Dye Penetrant Testing (PT) and Radiographic Testing (RT)"
151,New metering technologies
152,Types of cost benefit analysis
153,Airline requirements for load documentation
154,Concepts and requirements of Singapores HACCP standards
155,Methods of managing strategic relationships
156,Different derivative types and asset classes
157,"Types, specifications and characteristics of aircraft landing gear systems"
158,Preventive maintenance monitoring and inspection methods
159,Best practices of implementing business unit action plans
160,Appropriate accounting treatments for reporting entities
161,Corrective action appropriate to the problem cause
162,"Procedures to dismantle, repair, replace and reassemble escalator and travelator components"
163,Code of ethics in professional practice
164,Terminal equipment diagrams
165,Types of incidents and accident for related to the environmental services industry
166,Relevant workplace safety and health (WSH) policies and procedures and other regulatory requirements and guidelines
167,Client-related factors that could impact achieving intervention goals
168,Principles of Individualised Education Plan (IEP)
169,"Extraneous factors affecting the manufacturing of ship, rig and conversion components"
170,Objectives of international marketing programmes
171,Applications of various instrumentation methods for food and ingredient analyses
172,Analytics architecture
173,Stakeholders to discuss and negotiate cost allocation and targets
174,Features of effective and high-quality learning environment
175,Order details necessary for confirmation
176,Guidelines for handling service recovery and compensation policies for handling service breakdowns
177,Principles of value management
178,Organisation's document control procedures and management system processes
179,Mechanical static equipment integrity and fitness for service
180,Principles of aerial cinematography and other factors that impact overall visuals
181,Core components of pricing and their impact on value perception
182,Types of components and parts of bus brake systems
183,Essential information regulating security officer employment
184,Types of hand signals to direct traffic
185,Organisational frameworks governing internal controls
186,Basic mental health awareness
187,Resource optimisation concepts
188,Manufacturing processes and equipment changes
189,Techniques for aircraft landing gear repair
190,"Artistic balance of complementary flavours, colours, shapes and textures in garnishes, food product and plate"
191,Singapore Standards SS 586
192,Principles of rapid prototyping and rapid tooling
193,Techniques for operating Point of Sales (POS) equipment
194,Riser and service pipe inspection principles
195,File format conversion methods
196,Marketing channels
197,Fundamentals of explosive powered tools
198,Performance systems and processes in organisations
199,Common defects and problems
200,Optimal timings and frequencies for the conduct of packaging testing
201,Failure analysis techniques such as fault hazard analysis and sneak circuit analysis
202,Critical information in tender documents
203,"Data gathering, collation and analysis approaches"
204,Risk assessment methodologies
205,Industry standards in risk management
206,Parameters of location selection based on scripts and production requirements
207,"Non-destructive testing (NDT) methods, comprising visual testing (VT), ultrasonic testing (UT), magnetic particles testing (MT), dye penetrant testing (PT), and radiographic testing (RT)"
208,Impact analysis of the HR management systems
209,Methods to conduct pre-campaign testing
210,Types of aircraft components and materials for surface enhancement
211,Relevant stakeholders in the organisation for proposal consultation
212,Manufacturing process flow
213,Strategies for customising content to target audiences
214,IT security management strategies
215,"Methods of managing case study reports on major troubleshooting activities, lessons learned, root causes and approaches to solving problems"
216,Objectives of financial analysis
217,Report writing structure
218,Methods to evaluate learning solution prototypes
219,Industry standard nomenclature and layout for scripts
220,"Types of project documentation processes, policies and templates"
221,Organisational business competitive advantage and strategies
222,"Procedures and methods to disassemble, repair and/or, replace bus brake systems"
223,Impact of business requirements and regulatory standards on acceptable baselines
224,"Methods of mechanical engineering, construction and commissioning"
225,Methods of determining follow-up measures to ensure repair works are successful
